ITB File Name,"Clause or
Drawing No.",Page#,Item,Requirement,상세 내용
Part_B1_Technical_Specification_CO2_Urea_1_500,B773-000-83-41-LE-T-9902,3,OT Cybersecurity & Network,| 2 een Click on the Document Title to go to that section of the document Table of Contents Document Number Document Title Number AnnexureA-B773- A SCOPE OF WORK AND SUPPLY (ANNEX-A-Static Equipment) 412 000-80-42-SOW- 9902 Annexure-C B773- |A SCOPE OF WORK/SUPPLY ANNEXURE-C: ROTATING 425 000-80-42-SOW- EQUIPMENT 9902 B773-000-80-42- eo | Scope of Works-Package Equipment SOW-9902 B773-00-000-19-41- eo | CONSTRUCTION SUPERVISION AND MANAGEMENT BY EPC 0002 CONTRACTOR B773-000-16-51-SP- B | Job Specifications (Instrumentation) 9902 B773-000-16-50-SP- JOB SPECIFICATION (ELECTRICAL) 9900 REV A B773-000-16-50-SP- B JOB SPECIFICATIONS 9902 B773-000-16-50-SP- JOB SPECIFICATION 8502 B773-000-16-50-SP- JOB SPECIFICATIONS 8501 B773-000-80-44-SP- A408 SPECIFICATION FOR ELECTRIC BOILER 3001 REV- 0 B773-000-16-51-SP- Job Specification for OT Cybersecurity Instrumentation 0001 Anexxure-A-B773- JOB SPECIFICATIONS (Annexure-A-Static Equipment) 000-80-42-SP-9902 Annexure-C B773- A 08 SPECIFICATION ANNEXURE-C: ROTATING EQUIPMENT 000-80-42-SP-9902 B773-000-80-42-SP- eo | Job Specification-Package Equipment 9902 B773-000-81-45-DS- DATA SHEET (HR) 4824 B773-000-81-45-DS- DATA SHEET (HB) 4825 B773-000-81-45-DS- DATA SHEET (LV) 4826 B773-000-81-45-DS- DATA SHEET (1000 GPM WFM) 4827 B773-000-81-45-DS- DATA SHEET (2000 GPM WFM) | 986 4828 B773-000-81-45-DS- DATA SHEET (HVLRM) 4829 B773-000-81-45-DS- DATA SHEET (MVS) 4000 4830 B773-000-81-45-DS- DATA SHEET (HVS) 1001 4831 B773-000-81-45-DS- DATA SHEET (DV) 1002 4832 B773-000-81-45-DS- DATA SHEET (RO) 1003 4833 B773-000-16-50-DS- DATA SHEET 1004 0001 B773-000-16-50-DS- DATA SHEET 1007 0002 B773-000-16-50-DS- DATA SHEET 1008 0003 Paae 3 of 7525 : B773-000-83-41-LE-T-9902 :Rev.B,Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,B773-000-83-41-LE-T-9902,6,Telecom Specifications,ere se Click on the Document Title to go to that section of the document Table of Contents Document Number Document Title Number Annexure-I-VL-9902- |A Storage Tank Contractor List 1626 Storage Tank Contractor List B773-000-16-50-VL- A VENDOR LIST 1628 9902 B773-000-16-43-VL- A VENDOR LIST (PIPING) FOR 150 TPD GREEN UREA 1715 9902 COMPLEX B773-000-80-42-VL- eo | Sub Vendor List-Package Equipment 1855 9902 Instrumentation B |Vendor List Instrumentation for B773 1858 Vendor List. B773-000-16-50- SINGLE LINE DIAGRAM 2012 0001 B773-000-81-45-0- OVERALL PLOT PLAN 2013 0001 B773-000-0341- R&D INPUT 2014 SOW-9902 B773-6-44-0005-A1_|A _ [ANNEXURE-| TO PMS (GENERAL NOTES 2031 B773-6-44-0005-A2_ |A __— [ANNEXURE-I| TO PMS (EXTRACTS 2044 B773-6-44-0005 PIPING MATERIAL SPECIFICATIONS 2062 B773-6-44-0006-A1_|A ___— [ANNEXURE-I TO VMS (GENERAL NOTES 2274 B773-6-44-0006-A2_|A __—_—[ANNEXURE-II TO VMS (EXTRACTS 2280 B773-6-44-0006 [A _—_| VALVE MATERIAL SPECIFICATIONS 2300 B773-000-81-47- eo | GEOTECHNICAL DATA FOR 150TPD GREEN UREA PROJECT 2618 GTD-9902 B773-000-81-46-SP- B MISCELLANEOUS 2631 9902 Annexure-A B773- Standard Specification List (Annex-A-Static Equipment) 2646 000-80-42-LSP-9902 Annexure-A B773- SPARE LIST (ANNEX-A- Static Equipment) 2650 000-80-42-SL-9902 Annexure-A-B773- Standard Drawing List (Annex-A-Static Equipment) 2654 000-80-42-LL-9902 INSPECTION AND INSPECTION AND TEST PLAN (PIPING) FOR 150 TPD GREEN 2658 TEST PLAN UREA COMPLEX PIPING STANDARD PIPING STANDARD SPECIFICATIONS FOR 150 TPD GREEN 2743 SPECIFICATIONS UREA COMPLEX STANDARDS(PIPIN PIPING STANDARDS FOR 150 TPD GREEN UREA COMPLEX 3293 G Annexure-3 A Instrumentation MTO Blank Format 3344 _ Instrumentation MTO Blank Format Annexure-4_ Blank |A Blank Instrument datasheets format 3348 Instrument datasheets format B773-000-16-51-IOF-B IO Summary Blank Format 3416 7309 B773-000-16-51- B List of Engineering / Installation Standards (Instrumentation) 3419 MD01_9902 B773-000-16-51-SP- B Inspection and Test Plant List (Instrumentation) 3491 1001 9902 B773-000-16-51-SP- B Standard Specifications List (Instrumentation) 3686 1002 9902 B773-000-16-51-SP- B | List of Drawings (Instrumentation) 4363 1003 9902 Paae 6 of 7525 : B773-000-83-41-LE-T-9902 :Rev.B,Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-79-41-ODB-1001, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 69,CCTV Surveillance System,"6. Surveillance camera for monitoring process plant asset, critical stacks, flare & Security to be provided.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-79-41-PCS-01, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 17,Telephone Intercom System,"1.1 Manufacturer OR Vendor Service Assistance Where responsibility is not indicated in Section 2. a. Obtain the assistance of the manufacturer or vendor, when necessary, to make a satisfactory installation as agreed on by the LEPC Contractor and the Owner b. Obtain the assistance of the manufacturer or vendor, as required, for technical assistance during run-in by the training or for informational and operating purposes c. Furnish names and telephone numbers including emergency contact of manufacturers, and vendors, technical service representatives for use by the Owner.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-43-TCL-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 3,Telecom Specifications,"12 Bidder to confirm that technical requirements for purchase of piping items as per Engineering Design basis (Piping) – Doc. No. B773-000-16-43-EDB- 1001, EIL Piping & Valve Material Specifications, General notes of EIL PMS & VMS and Technical Notes for piping items are noted and understood. This shall be the basis for bidder’s detailed specification for procurement, as per Piping Scope of Supply & Works, Doc. No. B773-000-16-43-SOW-9902. Bidder to confirm compliance.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 4,CCTV Surveillance System,"2.2.6 CCTV system including Field mounted CCTV cameras with their cables, installation materials and accessories.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 5,CCTV Surveillance System,"SCOPE OF SUPPLY & WORK (INSTRUMENTATION) 150 TPD GREEN UREA R&D PROJECT, Client LTD Section-A.4.12 B773-000-16-51-SOW-9902 Rev. B Page 5 of 17 Template No. 5-0000-0001-T1 Rev. 1 Copyrights EIL – All rights reserved a) Distributed Control System (DCS) along with workstations, printers. b) Programmable logic controller (PLC) System for ESD and Interlocks, Fire & Gas (F&G), Package PLCs along with workstations, printers. c) CCTV System. d) Anti-surge / Performance Control System, Speed Governor Control System, Overspeed Protection System, Machine Monitoring System with workstations. e) Any other system oriented items. YES YES YES YES YES - - - - -",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 8,CCTV Surveillance System,"2.4.4 Inspection and Testing of all field instruments, DCS/PLC System {including Package PLCs}, MMS, Anti-surge / Performance Control System, Speed Governor Control, Overspeed Protection System, Analysers, Gas Chromatograph, CCTV system, Local Control Panels etc as per Instrumentation Design Basis, Inspection Test Plans and other standard specifications, job specifications attached in the tender and respective instrumentation Purchase Requisitions.",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 9,CCTV Surveillance System,"2.5.4 Installation of DCS/ESD PLC system, CCTV System, MMS, Anti-surge / Performance Control System, Speed Governor Control, Overspeed Protection System, Package PLC based control system and related equipments, panels/cabinets, workstations, printers, any sub-package control system, cabinets and related accessories, supplied by Contractor. YES -",Verbatim specification requirement extracted dynamically.
Part_B1_Technical_Specification_CO2_Urea_1_500,"B773-000-16-51-SOW-9902, Preparation of specification for LEL, gas like hydrogen and ammonia detectors and providing the same at suitable locations. - Finalizing vendor data /detailed engineering dependent fire case loads and finalizing corresponding relief valve inlet and outlet line sizes.",Page 12,CCTV Surveillance System,"SCOPE OF SUPPLY & WORK (INSTRUMENTATION) 150 TPD GREEN UREA R&D PROJECT, Client LTD Section-A.4.12 B773-000-16-51-SOW-9902 Rev. B Page 12 of 17 Template No. 5-0000-0001-T1 Rev. 1 Copyrights EIL – All rights reserved procurement, factory testing, site activities and site acceptance testing. b) Coordination with various vendors / other sub-contractors / manufacturers / sub packaged vendors etc associated with package instrument supplies and services. c) Coordination with suppliers of special instruments / instrumentation items, control systems (DCS/PLC), analysers, system oriented items (CCTV system, MMS System, Anti-surge / Performance Control System, Speed Governor Control, Overspeed Protection System, Package PLC etc.) for availability of their specialist persons during start up and commissioning of all the units. YES YES - -",Verbatim specification requirement extracted dynamically.
